SHAP_Rank,Original_Predictor,Mean_SHAP,Mean_Abs_SHAP,Median_Abs_SHAP,Encoded_Features
1,Nottingham prognostic index,-0.02694849430272874,0.11223919798741777,0.11964220826717177,1
2,Tumor Size,-0.006559283857354774,0.03460446960361945,0.03570647408695561,1
3,Lymph nodes examined positive,-0.008112225978461944,0.031376092395272115,0.02853350961198863,1
4,Age at Diagnosis,-0.008320189268487904,0.030659109599331245,0.0263077737317799,1
5,ER Status,-0.005957676725212593,0.02439786991638386,0.02166011403318244,2
6,PR Status,-0.002944982108063551,0.017419725590266593,0.01658031275866913,3
7,Pam50 + Claudin-low subtype,-0.00404814230998848,0.015582589732723221,0.012941872038439366,8
8,3-Gene classifier subtype,-0.0021008510953001215,0.008140057082249793,0.00563038601529387,5
9,Chemotherapy,-0.00024728747701651977,0.007804966694619867,0.0057401753999974095,3
10,Integrative Cluster,-0.0019478250430845507,0.006356676318792796,0.004102575207767873,12
11,Tumor Stage,-0.0010675727640240046,0.0062153524580199696,0.0039151021518095885,1
12,Neoplasm Histologic Grade,-0.0005605926237598949,0.004884894309802997,0.004966438116047857,1
13,Hormone Therapy,-0.0007007585945507023,0.004744591727587263,0.004553752076865617,3
14,Primary Tumor Laterality,-0.0011947280621349018,0.0032476023989967354,0.0022328882549937836,3
15,Type of Breast Surgery,-0.0009980975441610084,0.0028171233538028455,0.0021508564467220227,3
16,Radio Therapy,-0.0003489358245127673,0.0020978739174119104,0.001981125682557038,3
17,TMB (nonsynonymous),-0.0009410571993586003,0.0013925501657838957,0.0008703593748148165,1
18,Cellularity,-0.0004090458616206868,0.0012472909826000609,0.0009505899504490551,4
19,Tumor Other Histologic Subtype,-0.00023494506555018146,0.0010603978618411109,0.0006043606523372193,9
20,Mutation Count,-0.0006516773904505625,0.0010161415061883431,0.0006316212998609724,1
21,HER2 Status,-9.862243295560476e-05,0.000608379589692331,0.00039918508612374993,3
22,Inferred Menopausal State,-0.00016466389143499744,0.0005819595850753556,0.0003118707929032023,3
23,Cancer Type Detailed,-0.00012799549220182877,0.00030426119265406057,0.00012069003364614209,8
